crate_name,abi,discriminant,reason,err_id,err_text
batrachia,C,5,16,0,"observer::Observer"
batrachia,C,5,16,3,"rtc_datachannel::DataChannel"
batrachia,C,5,16,1,"media_stream_track::audio_track::AudioTrack"
batrachia,C,5,16,2,"media_stream_track::video_track::VideoTrack"
wasmcloud-telnet,C,14,4,0,"dyn wasmcloud_provider_core::CapabilityProvider"
drm-rs,C,8,20,0,"[u32; 4]"
protobuf-native,C,5,16,0,"internal::CInt"
guile-sys,C,8,20,2,"[Struct___jmp_buf_tag; 1]"
guile-sys,C,8,20,1,"[Struct_Unnamed4; 1]"
guile-sys,C,8,20,4,"[Struct___va_list_tag; 1]"
guile-sys,C,8,20,0,"[Struct_Unnamed6; 1]"
guile-sys,C,8,20,3,"[Struct_Unnamed2; 1]"
wascc-nats,C,14,4,0,"dyn codec::capabilities::CapabilityProvider"
perfrecord-mach-ipc-rendezvous,C,8,20,0,"[i8; 4096]"
perfrecord-mach-ipc-rendezvous,C,8,20,1,"[mach_sys::Struct_vm_read_entry; 256]"
perfrecord-mach-ipc-rendezvous,C,8,20,2,"[i8; 512]"
duckdb-extension-framework,C,3,6,0,"u128"
boring-sys,C,3,6,0,"u128"
syrette,C,13,1,0,"fn() -> (std::any::TypeId, std::boxed::Box<dyn std::any::Any + std::marker::Send + std::marker::Sync>)"
libxml,C,13,1,0,"unsafe fn(*mut libc::c_void, *mut bindings::_xmlError)"
clhash-sys,C,3,6,0,"u128"
compiler_builtins,C,3,6,0,"u128"
compiler_builtins,C,2,6,1,"i128"
compiler_builtins,C,19,2,2,"(i128, bool)"
compiler_builtins,C,19,2,3,"(u128, bool)"
mono-rs,C,3,6,0,"u128"
cult,C,5,16,0,"AudioStream"
lzham-sys,C,3,6,0,"u128"
wow-rs,C,5,11,0,"wow_t"
stable-swap-fuzz,C,9,5,0,"[u8]"
mech-stats,C,5,16,1,"mech_core::Table"
mech-stats,C,5,16,0,"std::vec::Vec<(std::string::String, mech_core::Table)>"
h264bsd-sys,C,3,6,0,"u128"
iredismodule,C,3,6,0,"u128"
hdk_crud,C,3,6,0,"u128"
wasmcloud-s3,C,14,4,0,"dyn codec::CapabilityProvider"
chip,C,8,20,1,"[f32; 3]"
chip,C,8,20,0,"[f32; 9]"
matio-rs-sys,C,3,6,0,"u128"
nfc-sys,C,8,20,0,"[i8; 1024]"
axe_fx_midi,C,5,16,1,"std::vec::Vec<u8>"
axe_fx_midi,C,5,10,0,"parse::FractalModel"
ndless-sys,C,3,6,0,"u128"
libvips,C,3,6,0,"u128"
numpress,C,5,10,1,"std::result::Result<usize, Error>"
numpress,C,5,10,0,"std::result::Result<(), Error>"
wasmcloud-nats,C,14,4,0,"dyn wasmcloud_provider_core::CapabilityProvider"
packed_simd_2,C,5,16,18,"codegen::v128::u128x1"
packed_simd_2,C,5,16,3,"codegen::v128::u8x16"
packed_simd_2,C,5,16,17,"codegen::v512::u64x8"
packed_simd_2,C,5,16,2,"codegen::v64::u8x8"
packed_simd_2,C,5,16,21,"codegen::v64::f32x2"
packed_simd_2,C,5,16,22,"codegen::v128::f32x4"
packed_simd_2,C,5,16,0,"codegen::v16::u8x2"
packed_simd_2,C,5,16,8,"codegen::v128::u16x8"
packed_simd_2,C,5,16,15,"codegen::v128::u64x2"
packed_simd_2,C,5,16,1,"codegen::v32::u8x4"
packed_simd_2,C,5,16,5,"codegen::v512::u8x64"
packed_simd_2,C,5,16,7,"codegen::v64::u16x4"
packed_simd_2,C,5,16,24,"codegen::v512::f32x16"
packed_simd_2,C,5,16,4,"codegen::v256::u8x32"
packed_simd_2,C,5,16,12,"codegen::v128::u32x4"
packed_simd_2,C,5,16,19,"codegen::v256::u128x2"
packed_simd_2,C,5,16,25,"codegen::v128::f64x2"
packed_simd_2,C,5,16,9,"codegen::v256::u16x16"
packed_simd_2,C,5,16,13,"codegen::v256::u32x8"
packed_simd_2,C,5,16,10,"codegen::v512::u16x32"
packed_simd_2,C,5,16,14,"codegen::v512::u32x16"
packed_simd_2,C,5,16,6,"codegen::v32::u16x2"
packed_simd_2,C,5,16,11,"codegen::v64::u32x2"
packed_simd_2,C,5,16,16,"codegen::v256::u64x4"
packed_simd_2,C,5,16,23,"codegen::v256::f32x8"
packed_simd_2,C,5,16,26,"codegen::v256::f64x4"
packed_simd_2,C,5,16,20,"codegen::v512::u128x4"
packed_simd_2,C,5,16,27,"codegen::v512::f64x8"
wasmcloud-fs,C,14,4,0,"dyn wasmcloud_provider_core::CapabilityProvider"
nfc,C,8,20,0,"[i8; 1024]"
mesh-portal-versions,C,5,16,0,"std::string::String"
truncnorm,C,3,6,0,"u128"
lua52-sys,C,5,11,0,"lua_State"
fluidsynth,C,13,1,0,"fn(*mut libc::c_void, *mut ffi::Struct__fluid_midi_event_t) -> i32"
fluidsynth,C,13,1,1,"fn(*mut libc::c_void, u32, *mut ffi::Struct__fluid_event_t, *mut ffi::Struct__fluid_sequencer_t)"
hc_cz_profile,C,3,6,0,"u128"
mpc,C,1,7,1,"char"
mpc,C,5,11,0,"mpc_c_types::mpc_parser_t"
hdi,C,3,6,0,"u128"
libsweep,C,5,11,1,"SweepDevice"
libsweep,C,5,11,2,"SweepScan"
libsweep,C,5,11,0,"SweepError"
vigem-sys,C,3,6,0,"u128"
ark-api-ffi,C,1,7,1,"char"
ark-api-ffi,C,3,6,0,"u128"
eosio_cdt_sys,C,3,6,0,"u128"
eosio_cdt_sys,C,2,6,1,"i128"
blis-sys,C,3,6,0,"u128"
cl-sys,system,1,7,0,"char"
lucet-runtime-internals,C,5,16,0,"std::arch::x86_64::__m128"
gaborator-sys,C,9,5,0,"[()]"
lapacke-sys,C,8,20,0,"[f32; 2]"
lapacke-sys,C,8,20,1,"[f64; 2]"
phidget-sys,C,3,6,0,"u128"
euphrates_x64,win64,8,20,0,"[u8; 4]"
euphrates_x64,win64,8,20,1,"[u8; 8]"
ladspa_noisecoring,C,5,10,0,"std::option::Option<ladspa::PluginDescriptor>"
libduckdb-sys,C,3,6,0,"u128"
fuchsia_backtrace,C,14,4,0,"dyn DsoVisitor"
encoding_c_mem,C,1,7,0,"char"
onnxruntime-sys-patch,C,3,6,0,"u128"
psp,C,14,4,0,"dyn core::any::Any + core::marker::Send"
companion-service,C,14,4,0,"dyn Service + std::marker::Sync"
duku,C,5,11,0,"vk::MemoryRequirements2KHR"
grb-sys2,C,5,11,0,"GRBenv"
grb-sys2,C,5,11,1,"GRBmodel"
wasmcloud-httpclient,C,14,4,0,"dyn wasmcloud_provider_core::CapabilityProvider"
inmemory-keyvalue,C,14,4,0,"dyn codec::capabilities::CapabilityProvider"
confium,C,5,10,0,"std::result::Result<(), error::Error>"
ladspa,C,5,10,0,"std::option::Option<PluginDescriptor>"
minimp4-sys,C,3,6,0,"u128"
packed_simd,C,5,16,19,"codegen::v256::u128x2"
packed_simd,C,5,16,22,"codegen::v128::f32x4"
packed_simd,C,5,16,7,"codegen::v64::u16x4"
packed_simd,C,5,16,9,"codegen::v256::u16x16"
packed_simd,C,5,16,10,"codegen::v512::u16x32"
packed_simd,C,5,16,2,"codegen::v64::u8x8"
packed_simd,C,5,16,15,"codegen::v128::u64x2"
packed_simd,C,5,16,16,"codegen::v256::u64x4"
packed_simd,C,5,16,8,"codegen::v128::u16x8"
packed_simd,C,5,16,26,"codegen::v256::f64x4"
packed_simd,C,5,16,24,"codegen::v512::f32x16"
packed_simd,C,5,16,3,"codegen::v128::u8x16"
packed_simd,C,5,16,18,"codegen::v128::u128x1"
packed_simd,C,5,16,1,"codegen::v32::u8x4"
packed_simd,C,5,16,12,"codegen::v128::u32x4"
packed_simd,C,5,16,11,"codegen::v64::u32x2"
packed_simd,C,5,16,4,"codegen::v256::u8x32"
packed_simd,C,5,16,14,"codegen::v512::u32x16"
packed_simd,C,5,16,20,"codegen::v512::u128x4"
packed_simd,C,5,16,6,"codegen::v32::u16x2"
packed_simd,C,5,16,13,"codegen::v256::u32x8"
packed_simd,C,5,16,5,"codegen::v512::u8x64"
packed_simd,C,5,16,17,"codegen::v512::u64x8"
packed_simd,C,5,16,21,"codegen::v64::f32x2"
packed_simd,C,5,16,0,"codegen::v16::u8x2"
packed_simd,C,5,16,23,"codegen::v256::f32x8"
packed_simd,C,5,16,25,"codegen::v128::f64x2"
packed_simd,C,5,16,27,"codegen::v512::f64x8"
libiio-sys,C,3,6,0,"u128"
dittolive-ditto-sys,C,5,10,4,"std::option::Option<safer_ffi::Vec<ffi_utils::repr_c::Box<dittoffi::Document>>>"
dittolive-ditto-sys,C,5,10,5,"std::option::Option<safer_ffi::Vec<safer_ffi::boxed::slice_boxed<u8>>>"
dittolive-ditto-sys,C,5,10,6,"std::option::Option<safer_ffi::boxed::slice_boxed<usize>>"
dittolive-ditto-sys,C,8,20,8,"[u8; 8]"
dittolive-ditto-sys,C,5,10,1,"std::option::Option<safer_ffi::Vec<safer_ffi::char_p::char_p_boxed>>"
dittolive-ditto-sys,C,5,10,2,"std::option::Option<safer_ffi::boxed::slice_boxed<u8>>"
dittolive-ditto-sys,C,5,10,3,"std::option::Option<safer_ffi::slice::slice_ref<'_, u8>>"
dittolive-ditto-sys,C,5,10,7,"std::option::Option<safer_ffi::String>"
dittolive-ditto-sys,C,5,16,9,"safer_ffi::tuple::void::CVoid"
dittolive-ditto-sys,C,5,16,0,"safer_ffi::dyn_traits::ErasedTy"
agora-rtm,C,5,11,0,"ffi::root::agora::rtm::IRtmServiceEventHandler__bindgen_vtable"
mechtron,C,5,16,0,"cosmic_space::loc::Uuid"
mechtron,C,5,16,1,"cosmic_space::wasm::Timestamp"
mechtron,C,5,16,2,"cosmic_space::particle::Details"
mechtron,C,5,10,3,"std::result::Result<std::sync::Arc<dyn Guest>, err::GuestErr>"
irssi-sys,C,3,6,0,"u128"
mp4decrypt,C,5,16,1,"std::vec::Vec<std::vec::Vec<u8>>"
mp4decrypt,C,5,16,0,"std::vec::Vec<u8>"
pen-ffi,C,5,10,0,"core::option::Option<*mut core::task::Context<'_>>"
hc_zome_file_storage_coordinator,C,3,6,0,"u128"
tectonic_engine_bibtex,C,5,16,0,"tectonic_bridge_core::CoreBridgeState<'_>"
cosmic-macros,C,5,16,1,"cosmic_space::wasm::Timestamp"
