error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
312,rustsat-kissat,0.1.1,test::configure,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f8de51bb868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
313,rustsat-kissat,0.1.1,test::tiny_instance_sat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fa03e903868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
314,rustsat-kissat,0.1.1,test::build_destroy,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fc185b68868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
315,rustsat-kissat,0.1.1,test::options,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fc23efa3868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
316,rustsat-kissat,0.1.1,unsat_small_sat,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fe258e2b868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
318,s-secp256k1,0.5.7,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
319,s-secp256k1,0.5.7,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
320,s-secp256k1,0.5.7,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,33
321,saxx,0.1.2,tests::esaxx_compact,Undefined Behavior,out-of-bounds pointer use,Undefined Behavior: out-of-bounds pointer use: 0x64[noalloc] is a dangling pointer (it has no provenance),FALSE,1
322,saxx,0.1.2,tests::esa_from_slice,Undefined Behavior,out-of-bounds pointer use,Undefined Behavior: out-of-bounds pointer use: 0x74[noalloc] is a dangling pointer (it has no provenance),FALSE,1
328,sgp4-rs,0.4.0,sgp4_sys::tests::test_errors,Undefined Behavior,write access through <96258> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,9
329,smalloca,0.1.0,tests::dyn_smalloca_test,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 8 is required",FALSE,1
330,smalloca,0.1.0,tests::inner_fucntion_call_test,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,5
334,snarkvm-algorithms,0.14.6,fft::domain::tests::test_roots_of_unity,the main thread terminated without waiting for all remaining threads,NA,the main thread terminated without waiting for all remaining threads,FALSE,6
335,snarkvm-console-program,0.14.6,data::ciphertext::parse::tests::test_parse,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,1
336,snarkvm-parameters,0.14.6,testnet3::test_powers_of_beta_27_usrs,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
338,softfloat-wrapper,0.3.4,f128::tests::f128_compare,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
339,softfloat-wrapper-riscv,0.1.0,f128::tests::f128_compare,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,1
340,spdkit,0.1.0,fingerprint::test_reorder_by_connect,Stack Overflow,NA,328:fatal runtime error: stack overflow,FALSE,1
342,spdkit-nauty,0.1.1,test_nauty,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f34fbc6d868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
343,spdkit-nauty,0.1.1,nauty::test_nauty_labels,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fe19e621868[noalloc] is a dangling pointer (it has no provenance),FALSE,1
344,special-fun,0.2.0,cephes_double::shichi,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",FALSE,1
345,special-fun,0.2.0,cephes_double::sici,LLI interoperation error,LLVM field width mismatch,"LLI interoperation error: LLVM field width mismatch: cannot convert an LLVM field of width 4 to a Rust field of type f64, which has width 8",FALSE,1
346,speex-safe,0.6.0,bits::test::creates_and_drops,Undefined Behavior,constructing invalid value at .value.reserved1,"Undefined Behavior: constructing invalid value at .value.reserved1: encountered uninitialized memory, but expected an integer",FALSE,3
347,spng,0.2.0-alpha.2,decode,Undefined Behavior,reborrow through <93623> is forbidden,Undefined Behavior: reborrow through <> is forbidden,FALSE,7
348,spritz_cipher,0.1.0,c_check::compare_arduino,LLI interoperation error,LLVM field count mismatch,"LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",FALSE,1
351,strawboat,0.2.6,io::test_basic,unknown unstable option,`miri-llvm-log`,unknown unstable option: `miri-llvm-log`,FALSE,8
352,sway-ir,0.46.0,constants,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 16 is required",FALSE,1
354,tarantool,2.0.0,decimal::test::cmp,Undefined Behavior,constructing invalid value at .value.lsu[6],"Undefined Behavior: constructing invalid value at .value.lsu[6]: encountered uninitialized memory, but expected an integer",FALSE,3
357,tetsy-secp256k1,0.7.0,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,31
358,tetsy-secp256k1,0.7.0,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
360,tinylj,0.1.3,do_bad_file,Miri Internal Error,NA,the compiler unexpectedly panicked. this is a bug.,FALSE,9
361,tinyspline-sys,0.2.0,tests::interpolation,memory leaked,"alloc25393 (C heap, size","memory leaked: alloc (C heap, size: 256, align: 16), allocated here:",FALSE,1
362,tpnote-lib,0.22.8,highlight::test::test_indented,Stack Overflow,NA,25:fatal runtime error: stack overflow,FALSE,4
383,tree-sitter-cpp,0.20.3,tests::can_load_grammar,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
387,tree-sitter-cuda,0.20.3,tests::test_can_load_grammar,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
501,trezor-crypto-lib,0.1.1,sign_ext_dalek_donna,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
502,trezor-crypto-lib,0.1.1,dalek_sign_donna_verify,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
503,trezor-crypto-lib,0.1.1,batch_verify_dalek_donna,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
504,triangle-rs,0.1.2,tests::area,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
505,trussed,0.1.0,tests::aead,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
506,tsf-sys,0.2.0,tests::load_memory,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
507,tweetnacly,0.1.3,tweetnacl::crypto_sign,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
508,tweetnacly,0.1.3,tweetnacl::crypto_box,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
513,upversion,0.1.0,template::test_template::can_render,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,2
