crate_name,abi,discriminant,reason,err_id,err_text,category,ignored,file,start_line,start_col,end_line,end_col,type_name
GSL-sys,C,5,11,110,auto::gsl_spmatrix_complex,foreign_functions,TRUE,src/auto.rs,28187,40,28187,67,Adt
GSL-sys,C,5,11,111,auto::gsl_spmatrix_complex_float,foreign_functions,TRUE,src/auto.rs,28553,15,28553,46,Adt
GSL-sys,C,5,11,109,auto::gsl_spmatrix_complex_long_double,foreign_functions,TRUE,src/auto.rs,27983,12,27983,51,Adt
GSL-sys,C,5,11,114,auto::gsl_spmatrix_float,foreign_functions,TRUE,src/auto.rs,29130,12,29130,37,Adt
GSL-sys,C,5,11,118,auto::gsl_spmatrix_int,foreign_functions,TRUE,src/auto.rs,29925,12,29925,33,Adt
GSL-sys,C,5,11,116,auto::gsl_spmatrix_long,foreign_functions,TRUE,src/auto.rs,29360,61,29360,83,Adt
GSL-sys,C,5,11,112,auto::gsl_spmatrix_long_double,foreign_functions,TRUE,src/auto.rs,28645,66,28645,95,Adt
GSL-sys,C,5,11,120,auto::gsl_spmatrix_short,foreign_functions,TRUE,src/auto.rs,30247,12,30247,37,Adt
GSL-sys,C,5,11,121,auto::gsl_spmatrix_uchar,foreign_functions,TRUE,src/auto.rs,30380,10,30380,33,Adt
GSL-sys,C,5,11,117,auto::gsl_spmatrix_uint,foreign_functions,TRUE,src/auto.rs,29629,12,29629,36,Adt
GSL-sys,C,5,11,115,auto::gsl_spmatrix_ulong,foreign_functions,TRUE,src/auto.rs,29319,12,29319,35,Adt
GSL-sys,C,5,11,119,auto::gsl_spmatrix_ushort,foreign_functions,TRUE,src/auto.rs,29974,10,29974,34,Adt
GSL-sys,C,5,11,128,auto::gsl_wavelet,foreign_functions,TRUE,src/auto.rs,35088,12,35088,30,Adt
GSL-sys,C,5,11,127,auto::gsl_wavelet_type,foreign_functions,TRUE,src/auto.rs,35062,33,35062,56,Adt
GSL-sys,C,5,11,127,auto::gsl_wavelet_type,static_items,TRUE,src/auto.rs,35044,44,35044,67,Adt
GSL-sys,C,5,11,129,auto::gsl_wavelet_workspace,foreign_functions,TRUE,src/auto.rs,35200,15,35200,41,Adt
openldap,C,5,11,0,BerElement,foreign_functions,TRUE,src/lib.rs,60,37,60,57,Adt
onload,C,5,11,3,binding::zft,foreign_functions,TRUE,src/binding.rs,9361,32,9361,40,Adt
onload,C,5,11,2,binding::zftl,foreign_functions,TRUE,src/binding.rs,9301,26,9301,35,Adt
onload,C,5,11,0,binding::zfur,foreign_functions,TRUE,src/binding.rs,9187,13,9187,22,Adt
onload,C,5,11,1,binding::zfut,foreign_functions,TRUE,src/binding.rs,9264,37,9264,46,Adt
ecdh,C,5,11,6,bindings_ecdh::ASN1_ITEM_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8103,56,8103,75,Adt
ecdh,C,5,11,11,bindings_ecdh::asn1_pctx_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8345,28,8345,45,Adt
ecdh,C,5,11,8,bindings_ecdh::ASN1_VALUE_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8267,28,8267,51,Adt
ecdh,C,5,11,2,bindings_ecdh::bignum_ctx,foreign_functions,FALSE,src/bindings_ecdh.rs,9753,58,9753,73,Adt
ecdh,C,5,11,3,bindings_ecdh::bn_blinding_st,foreign_functions,FALSE,src/bindings_ecdh.rs,5021,50,5021,69,Adt
ecdh,C,5,11,9,bindings_ecdh::conf_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8311,60,8311,72,Adt
ecdh,C,5,11,14,bindings_ecdh::ec_group_st,foreign_functions,FALSE,src/bindings_ecdh.rs,8665,30,8665,46,Adt
ecdh,C,5,11,5,bindings_ecdh::ec_key_st,foreign_functions,FALSE,src/bindings_ecdh.rs,9548,33,9548,47,Adt
