error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
83,ep-capstone,0.2.0,insn::test::detail_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 17, so pointer to 1 byte starting at offset 17 is out-of-bounds",FALSE,1
84,ep-capstone,0.2.0,arch::mos65xx::test::mos65xx_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 18, so pointer to 1 byte starting at offset 18 is out-of-bounds",FALSE,1
85,ep-capstone,0.2.0,arch::tms320c64x::test::tms320c64x_size_and_alignment,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 21, so pointer to 1 byte starting at offset 21 is out-of-bounds",FALSE,1
86,etch,0.4.2,example,Stack Overflow,NA,25:fatal runtime error: stack overflow,FALSE,1
87,eth-secp256k1,0.5.7,ecdh::tests::ecdh,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,2
88,everrs,0.2.1,x25519::tests::diffie_hellman_test,LLI interoperation error,LLVM field width mismatch,"LLI interoperation error: LLVM field width mismatch: cannot convert an LLVM field of width 1 to a Rust field of type i32, which has width 4",FALSE,1
89,fbx3d,0.1.0,tests::blender_cube,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 8 is required",FALSE,1
91,final_compression,1.0.0,tests::test_compressed_writer_bz2,Undefined Behavior,read access through <98305> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,1
92,flatarchive,0.0.1,compression::bzip::tests::test_compress_empty,Undefined Behavior,read access through <128999> is forbidden,Undefined Behavior: read access through <> is forbidden,FALSE,2
93,flate2-crc,0.1.2,tests::random_small,the main thread terminated without waiting for all remaining threads,NA,the main thread terminated without waiting for all remaining threads,FALSE,1
94,flips,0.2.1,linear::test_create_apply,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 65536, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,1
95,flips,0.2.1,delta::test_create_apply,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,3
96,flips,0.2.1,test_create_identical,memory leaked,"alloc25469 (C heap, size","memory leaked: alloc (C heap, size: 4096, align: 16), allocated here:",FALSE,1
97,flips,0.2.1,test_study_apply_to_output,memory leaked,"alloc25461 (C heap, size","memory leaked: alloc (C heap, size: 65536, align: 16), allocated here:",FALSE,1
98,flips-sys,0.2.1,bps::tests::check_create_linear_and_apply,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 4096, so pointer to 1 byte starting at offset -1 is out-of-bounds",FALSE,1
99,flips-sys,0.2.1,bps::tests::check_create_delta_and_apply,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
100,fluidlite,0.2.1,settings::test::settings_ref,memory leaked,"alloc27222 (C heap, size","memory leaked: alloc (C heap, size: 3, align: 2), allocated here:",FALSE,1
103,grin_keychain,5.1.2,extkey_bip32::tests::test_vector_2,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,4
104,grin_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,30
105,grin_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,3
106,grin_secp256k1zkp,0.7.12,key::test::skey_clear_on_drop,Undefined Behavior,dereferencing pointer failed,"Undefined Behavior: dereferencing pointer failed: alloc has been freed, so this pointer is dangling",FALSE,1
107,h264bsd,0.1.1,tests::decode_and_save,Undefined Behavior,write access through <94036> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
109,http-muncher,0.3.2,tests::test_version,LLI interoperation error,LLVM field width mismatch,"LLI interoperation error: LLVM field width mismatch: cannot convert an LLVM field of width 8 to a Rust field of type u32, which has width 4",FALSE,1
110,jh-rs,0.1.0,tests::large,Undefined Behavior,constructing invalid value,Undefined Behavior: constructing invalid value: encountered an unaligned reference (required 8 byte alignment but found 1),FALSE,5
111,kg-js,0.8.4,tests::interop::call_rust_function,Undefined Behavior,dereferencing pointer failed,Undefined Behavior: dereferencing pointer failed: 0xe6ed8[noalloc] is a dangling pointer (it has no provenance),FALSE,1
112,kg-js,0.8.4,de::tests::deserialize_nan,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has been freed, so this pointer is dangling",FALSE,17
113,kissat,0.1.0,tests::miter_buggy_mux2,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,2
114,klu-rs,0.4.0,test::smoke_test,Undefined Behavior,write access through <93848> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,2
115,lcms2,6.0.0,context::context,Undefined Behavior,constructing invalid value at .<enum-tag>,"Undefined Behavior: constructing invalid value at .<enum-tag>: encountered 0x63726550, but expected a valid enum tag",FALSE,1
116,lcms2,6.0.0,mlu::mlu,Undefined Behavior,write access through <98524> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
117,lexlib,2.0.1,color::colorf::gray,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type color::ColorF to an LLVM value of type <2 x float>.,FALSE,1
118,libhydrogen,0.4.1,utils::tests::test_utils,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
119,libpicnic-sys,0.1.0+3.0.18,kats_picnic3_l3,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,8
120,librsync,0.2.3,test::send_patch,Undefined Behavior,deallocation through <95901> is forbidden,Undefined Behavior: deallocation through <> is forbidden,FALSE,1
122,libtz,0.1.1,timezone::tests::basics,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,3
123,libtz-sys,0.2.2,tests::localtime_rz_test,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,2
124,libudis86-sys,0.2.1,tests::it_works,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f7b90eb5870[noalloc] is a dangling pointer (it has no provenance),FALSE,1
125,libusb-src,1.26.2,test::test_get_device_list,Undefined Behavior,scalar size mismatch,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 1 bytes instead,FALSE,2
126,libusb1-sys,0.6.4,test_get_device_list,Undefined Behavior,scalar size mismatch,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 1 bytes instead,FALSE,2
127,littlefs2,0.4.0,fs::tests::issue_3_original_report,Undefined Behavior,reborrow through <258234> is forbidden,Undefined Behavior: reborrow through <> is forbidden,FALSE,18
129,lmdb-master-sys,0.1.0,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
131,lmdb-rkv-sys,0.11.2,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
132,lmdb-sys2,0.11.2,test_simple_64,Undefined Behavior,incorrect number of arguments for `open` with `O_CREAT`,"Undefined Behavior: incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",FALSE,1
