crate_name,category,text,id,count
GSL-sys,foreign_functions,"auto::gsl_odeiv2_step_type",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv2_step_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv2_driver_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv2_control_type",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv2_control_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_odeiv2_evolve_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_poly_complex_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_qrng",5,1
GSL-sys,foreign_functions,"auto::gsl_qrng_type",5,1
GSL-sys,foreign_functions,"auto::gsl_ran_discrete_t",5,1
GSL-sys,foreign_functions,"auto::gsl_root_fsolver",5,1
GSL-sys,foreign_functions,"auto::gsl_root_fsolver_type",5,1
GSL-sys,foreign_functions,"auto::gsl_root_fdfsolver_type",5,1
GSL-sys,foreign_functions,"auto::gsl_root_fdfsolver",5,1
GSL-sys,foreign_functions,"auto::gsl_rstat_quantile_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_rstat_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_sf_mathieu_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_siman_params_t",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_complex_long_double",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_complex",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_complex_float",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_long_double",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_float",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_ulong",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_long",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_uint",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_int",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_ushort",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_short",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_uchar",5,1
GSL-sys,foreign_functions,"auto::gsl_spmatrix_char",5,1
GSL-sys,foreign_functions,"auto::gsl_splinalg_itersolve_type",5,1
GSL-sys,foreign_functions,"auto::gsl_splinalg_itersolve",5,1
GSL-sys,foreign_functions,"auto::gsl_spline",5,1
GSL-sys,foreign_functions,"auto::gsl_spline2d",5,1
GSL-sys,foreign_functions,"auto::gsl_wavelet_type",5,1
GSL-sys,foreign_functions,"auto::gsl_wavelet",5,1
GSL-sys,foreign_functions,"auto::gsl_wavelet_workspace",5,1
GSL-sys,static_items,"auto::gsl_integration_fixed_type",5,1
GSL-sys,static_items,"auto::gsl_interp_type",5,1
GSL-sys,static_items,"auto::gsl_interp2d_type",5,1
GSL-sys,static_items,"auto::gsl_min_fminimizer_type",5,1
GSL-sys,static_items,"auto::gsl_multifit_robust_type",5,1
GSL-sys,static_items,"auto::gsl_multifit_fdfsolver_type",5,1
GSL-sys,static_items,"auto::gsl_multifit_nlinear_type",5,1
GSL-sys,static_items,"auto::gsl_multifit_nlinear_trs",5,1
GSL-sys,static_items,"auto::gsl_multifit_nlinear_scale",5,1
GSL-sys,static_items,"auto::gsl_multifit_nlinear_solver",5,1
GSL-sys,static_items,"auto::gsl_multimin_fdfminimizer_type",5,1
GSL-sys,static_items,"auto::gsl_multimin_fminimizer_type",5,1
GSL-sys,static_items,"auto::gsl_multiroot_fsolver_type",5,1
GSL-sys,static_items,"auto::gsl_multiroot_fdfsolver_type",5,1
GSL-sys,static_items,"auto::gsl_odeiv_step_type",5,1
GSL-sys,static_items,"auto::gsl_odeiv2_step_type",5,1
GSL-sys,static_items,"auto::gsl_qrng_type",5,1
GSL-sys,static_items,"auto::gsl_root_fsolver_type",5,1
GSL-sys,static_items,"auto::gsl_root_fdfsolver_type",5,1
GSL-sys,static_items,"auto::gsl_splinalg_itersolve_type",5,1
GSL-sys,static_items,"auto::gsl_wavelet_type",5,1
pngquant,foreign_functions,"imagequant::attr::Attributes",5,1
pngquant,foreign_functions,"imagequant::image::Image<'_>",5,1
icu_capi,rust_functions,"str",7,1
icu_capi,rust_functions,"char",1,1
rustgym-testcpp,foreign_functions,"for<'a> fn(&'a BinaryMatrix, i32, i32) -> i32",13,1
jitterentropy-sys,foreign_functions,"u128",3,1
cursed,rust_functions,"core::any::TypeId",5,1
wascc-fs,rust_functions,"dyn codec::capabilities::CapabilityProvider",14,1
