crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
grin_secp256k1zkp,0.7.12,pedersen::tests::commit_parse_ser,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",1
grin_secp256k1zkp,0.7.12,pedersen::tests::test_to_pubkey,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",1
grin_secp256k1zkp,0.7.12,pedersen::tests::test_verify_commit_sum_random_keys_switch,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",1
grin_secp256k1zkp,0.7.12,key::test::skey_clear_on_drop,0,124,1,Timeout,Undefined Behavior,NA,"dereferencing pointer failed: alloc has been freed, so this pointer is dangling",1
http-muncher,0.3.2,tests::test_version,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field width mismatch: cannot convert an LLVM field of width 8 to a Rust field of type u32, which has width 4","LLVM field width mismatch: cannot convert an LLVM field of width 8 to a Rust field of type u32, which has width 4",1
kissat,0.1.0,tests::miter_buggy_mux2,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",2
libhydrogen,0.4.1,utils::tests::test_utils,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",1
libtz,0.1.1,tests::gmtime_test,0,1,1,LLI interoperation error,LLI interoperation error,"Unsupported LLVM Type: { i64, i1 }","Unsupported LLVM Type: { i64, i1 }",1
libudis86-sys,0.2.1,tests::it_works,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f8995a69870[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f7b90eb5870[noalloc] is a dangling pointer (it has no provenance),1
milagro-crypto,0.1.14,big::tests::test_random_mod_order,101,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",write access through <> is forbidden,1
nostr-extensions,0.4.2,rate_limiter::tests::message,101,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3","incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",1
openh264-sys2,0.4.1,can_call_simple_decoder,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 2 fields to a Rust value of type `openh264_sys2::_tagVersion`, which has 4 fields.","LLVM field count mismatch: cannot convert an LLVM value with 2 fields to a Rust value of type `openh264_sys2::_tagVersion`, which has 4 fields.",1
parity-secp256k1,0.7.0,key::test::pubkey_add,0,1,1,LLI interoperation error,LLI interoperation error,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,1
pbf-reader,0.1.9,tests::simple_count,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",1
picohttpparser-sys,1.0.0,slowloris,0,1,1,LLI interoperation error,LLI interoperation error,Unsupported LLVM Type: <16 x i8>,Unsupported LLVM Type: <16 x i8>,4
plthook,0.2.2,tests::use_c_api,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fe80e841110[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fe04ce99110[noalloc] is a dangling pointer (it has no provenance),1
plthook,0.2.2,tests::replace_atof,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7ff628c33110[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fb36bfb8110[noalloc] is a dangling pointer (it has no provenance),1
pqcrypto-mqdss,0.3.0,mqdss64::test::test_sign,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4","incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",1
rsworld-sys,0.1.0,tests::test_code_aperiodicity,0,1,1,LLI interoperation error,LLI interoperation error,"Unsupported LLVM Type: { i64, i1 }","Unsupported LLVM Type: { i64, i1 }",1
rsworld-sys,0.1.0,tests::test_decode_aperiodicity,0,1,1,LLI interoperation error,LLI interoperation error,"Unsupported LLVM Type: { i64, i1 }","Unsupported LLVM Type: { i64, i1 }",1
rustsat-kissat,0.1.1,test::build_two,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f1c1aaa8868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f64d8564868[noalloc] is a dangling pointer (it has no provenance),1
rustsat-kissat,0.1.1,sat_small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f475e05d868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f7c34b7f868[noalloc] is a dangling pointer (it has no provenance),1
